Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000915282
0.001,-0.000432231
0.002,-0.000593248
0.003,-0.000593248
0.004,-0.0010763
0.005,-0.000432231
0.006,-0.000754265
0.007,-0.000593248
0.008,-0.000754265
0.009,-0.000432231
0.01,-0.000593248
0.011,-0.000915282
0.012,-0.000754265
0.013,-0.000754265
0.014,-0.000432231
0.015,-0.000593248
0.016,-0.000754265
0.017,-0.000593248
0.018,-0.000593248
0.019,-0.000432231
0.02,-0.000432231
0.021,-0.000593248
0.022,-0.000593248
0.023,-0.000271214
0.024,-0.000593248
0.025,-0.000593248
0.026,-0.000754265
0.027,-0.000432231
0.028,-0.000754265
0.029,-0.000754265
0.03,-0.000754265
0.031,-0.000754265
0.032,-0.000593248
0.033,-0.000754265
0.034,-0.000754265
0.035,-0.000754265
0.036,-0.000754265
0.037,-0.000754265
0.038,-0.000593248
0.039,-0.000593248
0.04,-0.000754265
0.041,-0.000271214
0.042,-0.000754265
0.043,-0.000593248
0.044,-0.000593248
0.045,-0.000593248
0.046,-0.000432231
0.047,-0.000754265
0.048,-0.000754265
0.049,-0.000593248
0.05,-0.000754265
0.051,-0.000432231
0.052,-0.0010763
0.053,-0.000593248
0.054,-0.000754265
0.055,-0.000593248
0.056,-0.000754265
0.057,-0.000754265
0.058,-0.000593248
0.059,-0.000593248
0.06,-0.000593248
0.061,-0.000432231
0.062,-0.000754265
0.063,-0.000432231
0.064,-0.000593248
0.065,-0.000754265
0.066,-0.000754265
0.067,-0.000754265
0.068,-0.000432231
0.069,-0.000593248
0.07,-0.000754265
0.071,-0.000432231
0.072,-0.000593248
0.073,-0.000593248
0.074,-0.000754265
0.075,-0.000754265
0.076,-0.0010763
0.077,-0.000915282
0.078,-0.000593248
0.079,-0.000593248
0.08,-0.000754265
0.081,-0.000754265
0.082,-0.000593248
0.083,-0.000593248
0.084,-0.000754265
0.085,-0.000593248
0.086,-0.000432231
0.087,-0.000271214
0.088,-0.000593248
0.089,-0.000754265
0.09,-0.000915282
0.091,-0.000593248
0.092,-0.000754265
0.093,-0.000754265
0.094,-0.000754265
0.095,-0.000593248
0.096,-0.000754265
0.097,-0.000754265
0.098,-0.000915282
0.099,0.425136
0.1,2.09473
0.101,2.78727
0.102,3.02768
0.103,3.10609
0.104,3.09144
0.105,3.08629
0.106,3.09869
0.107,3.10561
0.108,3.09676
0.109,3.08001
0.11,3.06648
0.111,3.0557
0.112,3.0528
0.113,3.05408
0.114,3.06133
0.115,3.07212
0.116,3.08822
0.117,3.10545
0.118,3.12976
0.119,3.14828
0.12,3.1639
0.121,3.17614
0.122,3.07598
0.123,3.08452
0.124,3.09192
0.125,3.09901
0.126,3.10545
0.127,3.10738
0.128,3.11189
0.129,3.11624
0.13,3.12268
0.131,3.12606
0.132,3.12832
0.133,3.1325
0.134,3.13234
0.135,3.13653
0.136,3.142
0.137,3.14715
0.138,3.15134
0.139,3.15134
0.14,3.15553
0.141,3.15714
0.142,3.15939
0.143,3.16455
0.144,3.16616
0.145,3.16921
0.146,3.17646
0.147,3.17807
0.148,3.17791
0.149,3.17968
0.15,3.17823
0.151,3.17823
0.152,3.17791
0.153,3.17775
0.154,3.17936
0.155,3.17759
0.156,3.1792
0.157,3.18242
0.158,3.1734
0.159,3.17115
0.16,3.1631
0.161,3.16004
0.162,3.14877
0.163,3.1201
0.164,3.01689
0.165,3.28579
0.166,3.30238
0.167,3.31124
0.168,3.3159
0.169,3.31735
0.17,3.32025
0.171,3.32138
0.172,3.32379
0.173,3.32428
0.174,3.3246
0.175,3.32557
0.176,3.32637
0.177,3.32573
0.178,3.32702
0.179,3.32734
0.18,3.32766
0.181,3.32863
0.182,3.32879
0.183,3.32846
0.184,3.32959
0.185,3.33007
