Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000915282
0.001,-0.000271214
0.002,-0.000593248
0.003,-0.000754265
0.004,-0.000593248
0.005,-0.000915282
0.006,-0.000593248
0.007,-0.000754265
0.008,-0.0010763
0.009,-0.000754265
0.01,-0.000915282
0.011,-0.000754265
0.012,-0.000593248
0.013,-0.000432231
0.014,-0.000432231
0.015,-0.000754265
0.016,-0.000271214
0.017,-0.000593248
0.018,-0.000754265
0.019,-0.000593248
0.02,-0.000593248
0.021,-0.000432231
0.022,-0.000432231
0.023,-0.000754265
0.024,-0.000593248
0.025,-0.000432231
0.026,-0.000754265
0.027,-0.000754265
0.028,-0.000593248
0.029,-0.000593248
0.03,-0.000915282
0.031,-0.0010763
0.032,-0.000593248
0.033,-0.000593248
0.034,-0.000593248
0.035,-0.000593248
0.036,-0.000271214
0.037,-0.000754265
0.038,-0.000593248
0.039,-0.000432231
0.04,-0.000432231
0.041,-0.000593248
0.042,-0.000754265
0.043,-0.000754265
0.044,-0.000754265
0.045,-0.000593248
0.046,-0.000754265
0.047,-0.000754265
0.048,-0.000754265
0.049,-0.000915282
0.05,-0.000915282
0.051,-0.000754265
0.052,-0.000432231
0.053,-0.000593248
0.054,-0.000593248
0.055,-0.000432231
0.056,-0.000593248
0.057,-0.000754265
0.058,-0.000754265
0.059,-0.000271214
0.06,-0.000593248
0.061,-0.000754265
0.062,-0.000754265
0.063,-0.000593248
0.064,-0.000593248
0.065,-0.000754265
0.066,-0.000593248
0.067,-0.000915282
0.068,-0.000754265
0.069,-0.000915282
0.07,-0.000754265
0.071,-0.000593248
0.072,-0.000593248
0.073,-0.000432231
0.074,-0.000915282
0.075,-0.000432231
0.076,-0.000593248
0.077,-0.000593248
0.078,-0.000432231
0.079,-0.000432231
0.08,-0.000593248
0.081,-0.000915282
0.082,-0.000915282
0.083,-0.000754265
0.084,-0.000593248
0.085,-0.000754265
0.086,-0.000915282
0.087,-0.000754265
0.088,-0.000432231
0.089,-0.000915282
0.09,-0.000915282
0.091,-0.000593248
0.092,-0.000432231
0.093,-0.000593248
0.094,-0.000593248
0.095,-0.000593248
0.096,-0.000593248
0.097,-0.000432231
0.098,0.35139
0.099,0.580356
0.1,2.30454
0.101,2.77794
0.102,2.98597
0.103,2.98163
0.104,2.971
0.105,2.98018
0.106,3.00707
0.107,3.01206
0.108,2.99225
0.109,2.95828
0.11,2.93364
0.111,2.91963
0.112,2.90305
0.113,2.89983
0.114,2.90305
0.115,2.91142
0.116,2.93155
0.117,2.95844
0.118,2.99096
0.119,3.02478
0.12,3.05103
0.121,3.07067
0.122,3.08564
0.123,3.09965
0.124,3.11495
0.125,3.12638
0.126,3.13588
0.127,3.14748
0.128,3.15666
0.129,3.16326
0.13,3.17469
0.131,3.18532
