Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000754265
0.001,-0.000754265
0.002,-0.000754265
0.003,-0.000754265
0.004,-0.000915282
0.005,-0.00123732
0.006,-0.00123732
0.007,-0.00123732
0.008,-0.000754265
0.009,-0.000915282
0.01,-0.000754265
0.011,-0.000593248
0.012,-0.000593248
0.013,-0.000593248
0.014,-0.000271214
0.015,-0.000754265
0.016,-0.000754265
0.017,-0.000754265
0.018,-0.000754265
0.019,-0.000754265
0.02,-0.000754265
0.021,-0.000754265
0.022,-0.000915282
0.023,-0.000754265
0.024,-0.0010763
0.025,-0.000915282
0.026,-0.0010763
0.027,-0.000915282
0.028,-0.000754265
0.029,-0.0010763
0.03,-0.0010763
0.031,-0.000593248
0.032,-0.000593248
0.033,-0.000432231
0.034,-0.000432231
0.035,-0.000432231
0.036,-0.000593248
0.037,-0.000593248
0.038,-0.000754265
0.039,-0.000754265
0.04,-0.000593248
0.041,-0.000915282
0.042,-0.000754265
0.043,-0.00123732
0.044,-0.0010763
0.045,-0.000915282
0.046,-0.000915282
0.047,-0.0010763
0.048,-0.000754265
0.049,-0.000754265
0.05,-0.000915282
0.051,-0.000593248
0.052,-0.000593248
0.053,-0.000432231
0.054,-0.000593248
0.055,-0.000754265
0.056,-0.000432231
0.057,-0.000754265
0.058,-0.000754265
0.059,-0.000915282
0.06,-0.000754265
0.061,-0.000915282
0.062,-0.000593248
0.063,-0.0010763
0.064,-0.0010763
0.065,-0.000915282
0.066,-0.00123732
0.067,-0.000754265
0.068,-0.000754265
0.069,-0.000754265
0.07,-0.000754265
0.071,-0.000754265
0.072,-0.000754265
0.073,-0.000593248
0.074,-0.000593248
0.075,-0.000754265
0.076,-0.000593248
0.077,-0.000432231
0.078,-0.000754265
0.079,-0.000915282
0.08,-0.00123732
0.081,-0.000754265
0.082,-0.000754265
0.083,-0.000915282
0.084,-0.00123732
0.085,-0.00123732
0.086,-0.0010763
0.087,-0.0010763
0.088,-0.000915282
0.089,-0.000754265
0.09,-0.000432231
0.091,-0.000754265
0.092,-0.000915282
0.093,-0.000593248
0.094,-0.000432231
0.095,-0.000432231
0.096,-0.000593248
0.097,-0.000432231
0.098,-0.000432231
0.099,1.12298
0.1,2.17717
0.101,2.82077
0.102,2.97518
0.103,3.01061
0.104,3.00288
0.105,2.98098
0.106,2.97551
0.107,2.98565
0.108,3.01045
0.109,3.04136
0.11,3.06648
0.111,3.09209
0.112,3.12381
0.113,3.14055
0.114,3.15134
0.115,3.15971
0.116,3.16599
0.117,3.1763
0.118,3.18532
0.119,3.19385
0.12,3.20094
0.121,3.20947
0.122,3.21607
0.123,3.22187
0.124,3.2267
0.125,3.23217
0.126,3.23652
0.127,3.24119
0.128,3.24345
0.129,3.2457
0.13,3.24763
0.131,3.24989
0.132,3.2523
0.133,3.25439
0.134,3.256
0.135,3.25778
0.136,3.25858
0.137,3.26051
0.138,3.26196
0.139,3.26341
0.14,3.2647
0.141,3.26583
0.142,3.26663
0.143,3.26776
0.144,3.2684
0.145,3.26985
0.146,3.27114
0.147,3.27211
0.148,3.27243
0.149,3.27291
0.15,3.27356
0.151,3.27436
0.152,3.27484
0.153,3.27533
0.154,3.27517
0.155,3.27565
0.156,3.27565
0.157,3.27645
0.158,3.27629
0.159,3.27678
0.16,3.2771
0.161,3.27742
0.162,3.27694
0.163,3.2771
0.164,3.27694
0.165,3.27758
0.166,3.27774
0.167,3.27806
0.168,3.27742
0.169,3.27758
0.17,3.27645
0.171,3.27517
0.172,3.27404
0.173,3.27356
0.174,3.27146
0.175,3.26953
0.176,3.26615
0.177,3.26116
0.178,3.25713
0.179,3.25359
0.18,3.24892
0.181,3.24393
0.182,3.2391
0.183,3.23217
0.184,3.22316
0.185,3.21655
0.186,3.2114
0.187,3.20271
0.188,3.19079
0.189,3.17678
0.19,3.16487
0.191,3.15005
0.192,3.13588
0.193,3.12155
0.194,3.09708
0.195,3.06906
0.196,3.04909
0.197,3.02172
0.198,3.00143
0.199,2.98179
0.2,2.96053
0.201,2.93396
0.202,2.89387
0.203,2.82833
0.204,2.77069
0.205,2.7211
0.206,2.67472
0.207,2.61949
0.208,2.56619
0.209,2.51064
0.21,2.43142
0.211,2.36057
0.212,2.2551
0.213,2.13402
0.214,2.01229
0.215,1.88685
0.216,1.76368
0.217,1.53261
0.218,1.28239
0.219,1.00029
0.22,0.861492
0.221,0.977264
0.222,0.870992
0.223,0.692907
0.224,0.317737
0.225,0.040466
0.226,-0.0010763
0.227,-0.000754265
0.228,-0.000754265
0.229,-0.000754265
0.23,-0.000432231
0.231,-0.000432231
0.232,-0.000754265
0.233,-0.000271214
0.234,-0.000271214
0.235,-0.000432231
0.236,-0.000432231
0.237,-0.000754265
0.238,-0.000754265
0.239,-0.000754265
0.24,-0.000915282
0.241,-0.000593248
0.242,-0.000593248
0.243,-0.000754265
0.244,-0.000915282
0.245,-0.000593248
0.246,-0.000754265
0.247,-0.000915282
0.248,-0.000593248
0.249,-0.000754265
0.25,-0.000432231
0.251,-0.000754265
0.252,-0.000593248
0.253,-0.000271214
0.254,-0.000432231
0.255,-0.000593248
0.256,-0.000271214
0.257,-0.000754265
0.258,-0.000432231
0.259,-0.000593248
0.26,-0.000432231
0.261,-0.000754265
0.262,-0.000915282
0.263,-0.000754265
0.264,-0.000915282
0.265,-0.000754265
0.266,-0.000754265
0.267,-0.000915282
0.268,-0.000593248
0.269,-0.000754265
0.27,-0.000754265
0.271,-0.000754265
0.272,-0.000432231
0.273,-0.000432231
0.274,-0.000432231
0.275,-0.000593248
0.276,-0.000432231
0.277,-0.000432231
0.278,-0.000593248
0.279,-0.000593248
0.28,-0.000593248
0.281,-0.000593248
0.282,-0.000593248
0.283,-0.000915282
0.284,-0.0010763
0.285,-0.0010763
0.286,-0.000915282
0.287,-0.000754265
0.288,-0.000915282
0.289,-0.000593248
0.29,-0.000432231
0.291,-0.000593248
0.292,-0.000593248
0.293,-0.000593248
0.294,-0.000432231
0.295,-0.000432231
0.296,-0.000754265
0.297,-0.000593248
0.298,-0.000754265
0.299,-0.000593248
0.3,-0.000593248
0.301,-0.000432231
0.302,-0.000593248
0.303,-0.000754265
0.304,-0.000754265
0.305,-0.000915282
0.306,-0.0010763
0.307,-0.000915282
0.308,-0.000754265
