Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000593248
0.001,-0.000754265
0.002,-0.000593248
0.003,-0.000915282
0.004,-0.000915282
0.005,-0.000271214
0.006,-0.000915282
0.007,-0.000593248
0.008,-0.000432231
0.009,-0.000754265
0.01,-0.000915282
0.011,-0.000593248
0.012,-0.000593248
0.013,-0.000593248
0.014,-0.000915282
0.015,-0.000593248
0.016,-0.000593248
0.017,-0.000754265
0.018,-0.000593248
0.019,-0.000593248
0.02,-0.000754265
0.021,-0.000754265
0.022,-0.000593248
0.023,-0.000271214
0.024,-0.000432231
0.025,-0.000593248
0.026,-0.000754265
0.027,-0.000754265
0.028,-0.000432231
0.029,-0.000432231
0.03,-0.000754265
0.031,-0.000593248
0.032,-0.000754265
0.033,-0.000754265
0.034,-0.000593248
0.035,-0.000754265
0.036,-0.000754265
0.037,-0.000754265
0.038,-0.000754265
0.039,-0.000754265
0.04,-0.0010763
0.041,-0.000432231
0.042,-0.000593248
0.043,-0.000593248
0.044,-0.000432231
0.045,-0.000593248
0.046,-0.000593248
0.047,-0.000593248
0.048,-0.000593248
0.049,-0.000593248
0.05,-0.000915282
0.051,-0.000754265
0.052,-0.000593248
0.053,-0.000593248
0.054,-0.000754265
0.055,-0.0010763
0.056,-0.000754265
0.057,-0.000754265
0.058,-0.000754265
0.059,-0.000432231
0.06,-0.000593248
0.061,-0.000593248
0.062,-0.000593248
0.063,-0.000915282
0.064,-0.000754265
0.065,-0.000432231
0.066,-0.000271214
0.067,-0.000432231
0.068,-0.000593248
0.069,-0.000593248
0.07,-0.000754265
0.071,-0.000915282
0.072,-0.000754265
0.073,-0.000915282
0.074,-0.000432231
0.075,-0.000754265
0.076,-0.000754265
0.077,-0.000754265
0.078,-0.000915282
0.079,-0.000915282
0.08,-0.000754265
0.081,-0.000593248
0.082,-0.000593248
0.083,-0.000593248
0.084,-0.000593248
0.085,-0.000593248
0.086,-0.000754265
0.087,-0.000754265
0.088,-0.000593248
0.089,-0.000432231
0.09,-0.000754265
0.091,-0.000754265
0.092,-0.000593248
0.093,-0.000754265
0.094,-0.000432231
0.095,-0.000915282
0.096,-0.000754265
0.097,-0.000754265
0.098,0.742178
0.099,1.33907
0.1,1.71312
0.101,1.84386
0.102,1.9445
0.103,1.98572
0.104,2.02791
0.105,2.05077
0.106,2.06236
0.107,2.08475
0.108,2.10729
0.109,2.17653
0.11,2.25559
0.111,2.32901
0.112,2.38956
0.113,2.47184
0.114,2.54156
0.115,2.61225
0.116,2.65057
0.117,2.67633
0.118,2.70918
0.119,2.74138
0.12,2.7731
0.121,2.81062
0.122,2.84685
0.123,2.871
0.124,2.8958
0.125,2.92157
0.126,2.94073
0.127,2.95538
0.128,2.97309
0.129,2.98855
0.13,3.0032
0.131,3.01174
0.132,3.02108
0.133,3.02719
0.134,3.03476
0.135,3.03992
0.136,3.0433
0.137,3.04781
0.138,3.05103
0.139,3.05376
0.14,3.05634
0.141,3.0565
0.142,3.05747
0.143,3.05779
0.144,3.05747
0.145,3.05698
0.146,3.05666
0.147,3.0557
0.148,3.05425
0.149,3.05344
0.15,3.05022
0.151,3.04781
0.152,3.04297
0.153,3.03879
0.154,3.03219
0.155,3.02172
0.156,3.01302
0.157,3.00385
0.158,2.99129
0.159,2.97728
0.16,2.96343
0.161,2.94701
0.162,2.9309
0.163,2.90901
0.164,2.89033
0.165,2.86183
0.166,2.82077
0.167,2.78631
0.168,2.75765
0.169,2.73478
0.17,2.71498
0.171,2.68696
0.172,2.64364
0.173,2.5889
0.174,2.53802
0.175,2.51241
0.176,2.47747
0.177,2.41806
0.178,2.32772
0.179,2.26155
0.18,2.16171
0.181,2.01422
0.182,1.98089
0.183,1.95674
0.184,1.8619
0.185,1.67753
0.186,1.57528
0.187,1.38416
0.188,1.24826
0.189,1.07339
0.19,0.665695
0.191,0.532695
0.192,0.368619
0.193,0.275712
0.194,0.253169
0.195,0.250271
0.196,0.178135
0.197,0.0953728
0.198,0.0902202
0.199,0.069127
0.2,-0.000754265
0.201,-0.000754265
0.202,-0.000593248
0.203,-0.000432231
0.204,-0.000754265
0.205,-0.000432231
0.206,-0.000754265
0.207,-0.000432231
0.208,-0.000593248
0.209,-0.000754265
0.21,-0.000432231
0.211,-0.000593248
0.212,-0.000754265
0.213,-0.000593248
0.214,-0.000593248
0.215,-0.000915282
0.216,-0.000593248
0.217,-0.000754265
0.218,-0.000754265
0.219,-0.000754265
0.22,-0.000593248
0.221,-0.000915282
0.222,-0.000593248
0.223,-0.000432231
0.224,-0.000593248
0.225,-0.000432231
0.226,-0.000432231
0.227,-0.000432231
0.228,-0.000593248
0.229,-0.000593248
0.23,-0.000593248
0.231,-0.000593248
0.232,-0.000432231
0.233,-0.000432231
0.234,-0.000593248
0.235,-0.000754265
0.236,-0.000915282
0.237,-0.000915282
0.238,-0.000754265
0.239,-0.000754265
0.24,-0.000754265
0.241,-0.000432231
0.242,-0.000593248
0.243,-0.000593248
0.244,-0.000432231
0.245,-0.000432231
0.246,-0.000593248
0.247,-0.000432231
0.248,-0.000754265
0.249,-0.0010763
0.25,-0.000754265
0.251,-0.000593248
0.252,-0.000754265
0.253,-0.000432231
0.254,-0.000593248
0.255,-0.000754265
0.256,-0.000754265
0.257,-0.000915282
0.258,-0.000754265
0.259,-0.000915282
0.26,-0.000754265
0.261,-0.000593248
0.262,-0.000593248
0.263,-0.000432231
0.264,-0.000432231
0.265,-0.000593248
0.266,-0.000271214
0.267,-0.000593248
0.268,-0.000593248
0.269,-0.000432231
0.27,-0.000754265
0.271,-0.000754265
0.272,-0.000432231
0.273,-0.000754265
0.274,-0.000593248
0.275,-0.000915282
0.276,-0.000915282
0.277,-0.000110198
0.278,-0.0010763
0.279,-0.000593248
0.28,-0.000754265
0.281,-0.000593248
0.282,-0.000593248
0.283,-0.000593248
0.284,-0.000593248
0.285,-0.000754265
0.286,-0.000432231
0.287,-0.000754265
0.288,-0.000593248
0.289,-0.000593248
0.29,-0.000432231
0.291,-0.000915282
0.292,-0.000754265
0.293,-0.000915282
0.294,-0.000593248
0.295,-0.000432231
0.296,-0.000754265
0.297,-0.000593248
0.298,-0.000593248
0.299,-0.000754265
0.3,-0.000915282
0.301,-0.000593248
0.302,-0.000271214
0.303,-0.000593248
0.304,-0.000754265
0.305,-0.000593248
0.306,-0.000915282
0.307,-0.000593248
0.308,-0.000593248
0.309,-0.000754265
0.31,-0.000593248
0.311,-0.000754265
