Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000754265
0.001,-0.000593248
0.002,-0.000432231
0.003,-0.000432231
0.004,-0.000915282
0.005,-0.000432231
0.006,-0.000271214
0.007,-0.000432231
0.008,-0.000432231
0.009,-0.000915282
0.01,-0.000593248
0.011,-0.000754265
0.012,-0.000915282
0.013,-0.000593248
0.014,-0.0010763
0.015,-0.000915282
0.016,-0.000593248
0.017,-0.000593248
0.018,-0.000432231
0.019,-0.000593248
0.02,-0.000432231
0.021,-0.000593248
0.022,-0.000432231
0.023,-0.000593248
0.024,-0.000754265
0.025,-0.000593248
0.026,-0.000754265
0.027,-0.000593248
0.028,-0.000593248
0.029,-0.000593248
0.03,-0.000432231
0.031,-0.000432231
0.032,-0.0010763
0.033,-0.000915282
0.034,-0.000915282
0.035,-0.000754265
0.036,-0.000754265
0.037,-0.000593248
0.038,-0.000593248
0.039,-0.000593248
0.04,-0.000593248
0.041,-0.000432231
0.042,-0.000432231
0.043,-0.000432231
0.044,-0.000271214
0.045,-0.000432231
0.046,-0.000593248
0.047,-0.000432231
0.048,-0.000754265
0.049,-0.000754265
0.05,-0.000593248
0.051,-0.000593248
0.052,-0.000593248
0.053,-0.000754265
0.054,-0.000754265
0.055,-0.0010763
0.056,-0.000593248
0.057,-0.000754265
0.058,-0.000432231
0.059,-0.000432231
0.06,-0.000754265
0.061,-0.000432231
0.062,-0.000754265
0.063,-0.000754265
0.064,-0.000754265
0.065,-0.000271214
0.066,-0.000271214
0.067,-0.000593248
0.068,-0.000593248
0.069,-0.000432231
0.07,-0.000754265
0.071,-0.000754265
0.072,-0.000754265
0.073,-0.000754265
0.074,-0.000915282
0.075,-0.000593248
0.076,-0.000593248
0.077,-0.000915282
0.078,-0.000754265
0.079,-0.000754265
0.08,-0.000754265
0.081,-0.000593248
0.082,-0.000593248
0.083,-0.000271214
0.084,-0.000432231
0.085,-0.000754265
0.086,-0.000593248
0.087,-0.000593248
0.088,-0.000593248
